disease,sex,age_band,rate_per_100k,source_year,unit,source
cancer,남,20-29,51.2,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,30-39,143.4,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,40-49,243.0,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,50-59,518.5,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,60-69,1258.9,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,70-79,2367.7,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,남,80+,2930.2,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,20-29,117.8,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,30-39,321.2,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,40-49,590.0,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,50-59,673.7,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,60-69,791.6,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,70-79,1029.7,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
cancer,여,80+,1304.5,2023,명/10만명,국가암정보센터/중앙암등록본부 2023 국가암등록통계
heart,남,20-29,1.8,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,30-39,12.7,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,40-49,58.6,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,50-59,136.5,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,60-69,218.4,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,70-79,316.6,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,남,80+,448.2,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,20-29,0.5,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,30-39,2.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,40-49,6.4,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,50-59,15.6,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,60-69,41.7,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,70-79,118.2,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
heart,여,80+,247.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 심근경색증
brain,남,20-29,9.0,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,30-39,34.6,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,40-49,95.9,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,50-59,245.4,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,60-69,484.2,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,70-79,913.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,남,80+,1718.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,20-29,8.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,30-39,20.9,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,40-49,52.9,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,50-59,110.2,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,60-69,222.4,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,70-79,574.6,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
brain,여,80+,1396.1,2023,건/10만명,질병관리청 2023 심뇌혈관질환 발생통계 - 뇌졸중
